id,url,img_url
13132,http://web.archive.org/web/20160316225448/http://www.politifact.com:80/truth-o-meter/statements/2016/mar/15/hillary-clinton/hillary-clinton-says-guns-exceed-next-nine-categor/,http://web.archive.org/web/20160629072825im_/https://cdn-images-1.medium.com/max/1200/1*Bu2GhCDpB-IUBSeimupq3g.jpeg
4275,http://politifact.com/truth-o-meter/statements/2010/feb/04/paul-krugman/krugman-calls-senate-health-care-bill-similar-law-/,https://web.archive.org/web/20100203052650im_/http://a.abcnews.com/images/ThisWeek/abc_this_week_100122_mn.jpg
6932,http://web.archive.org/web/20120825162609/http://www.politifact.com/ohio/statements/2012/aug/23/barack-obama/barack-obama-says-mitt-romney-condemned-coal-fired/,
13052,http://web.archive.org/web/20160316224915/http://www.politifact.com:80/ohio/statements/2016/mar/14/rob-portman/most-heroin-us-comes-over-mexican-border/,
6646,http://web.archive.org/web/20120815191557/http://www.politifact.com/truth-o-meter/statements/2012/aug/15/stephanie-cutter/ryans-plan-includes-700-billion-medicare-cuts-says/,
4588,http://web.archive.org/web/20111005124239/http://www.politifact.com:80/texas/statements/2011/sep/06/rick-perry/rick-perry-says-he-switched-gop-younger-age-reagan/,
11552,http://www.politifact.com/new-jersey/statements/2013/may/02/leonard-lance/leonard-lance-claims-federal-tax-code-contains-4-m/,
787,http://www.politifact.com/truth-o-meter/statements/210/,
780,http://www.politifact.com/truth-o-meter/statements/528/,
11761,http://web.archive.org/web/20151225014251/http://www.politifact.com:80/florida/statements/2015/dec/22/marco-rubio/marco-rubio-says-ted-cruz-voted-defense-cuts-rand-/,
12748,http://web.archive.org/web/20110526124950/http://www.politifact.com:80/georgia/statements/2011/may/24/herman-cain/cain-said-food-stamp-program-use-under-obama/,
6603,http://www.politifact.com/truth-o-meter/statements/2012/jul/12/secure-america-now/ad-says-obama-apologized-showed-weakness-iran/,
14064,http://web.archive.org/web/20160122162152/http://www.politifact.com/truth-o-meter/statements/2016/jan/21/donald-trump/donald-trump-exaggerates-when-he-says-china-has-to/,
13283,http://web.archive.org/web/20110901020602/http://www.politifact.com:80/truth-o-meter/statements/2011/aug/18/warren-buffett/warren-buffett-says-super-rich-pay-lower-taxes-oth/,
11314,http://web.archive.org/web/20140128220341/http://www.politifact.com:80/truth-o-meter/statements/2014/jan/24/patrick-kennedy/has-potency-pot-changed-president-obama-was-high-s/,
13305,http://web.archive.org/web/20160316224915/http://www.politifact.com:80/ohio/statements/2016/mar/14/rob-portman/most-heroin-us-comes-over-mexican-border/,
6939,http://web.archive.org/web/20121017105757/http://www.politifact.com/truth-o-meter/statements/2012/oct/16/barack-obama/obama-mitt-romney-refused-say-whether-he-supports-/,
12801,http://web.archive.org/web/20160109061622/http://www.politifact.com:80/punditfact/statements/2016/jan/05/laura-ingraham/laura-ingraham-say-claim-90-support-gun-background/,
5237,http://web.archive.org/web/20110313030105/http://www.politifact.com:80/virginia/statements/2011/mar/11/morgan-griffith/morgan-griffith-says-epa-treats-milk-spills-same-w/,
