id,url,img_url
12104,https://medium.com/@RepJoePitts/one-in-four-6665a7ddffd#.owx09xl56,https://web.archive.org/web/20170111222616im_/https://cdn-static-1.medium.com/_/fp/icons/favicon-medium.TAS6uQ-Y7kcKgi0xjcYHXw.ico
9622,http://www.whitehouse.gov/the-press-office/2012/06/23/op-ed-president-obama-president-obama-reflects-impact-title-ix,https://web.archive.org/web/20120623193819im_/http://www.whitehouse.gov/sites/default/files/image/facebook/whitehouse_logo.jpg
2435,http://www.whitehouse.gov/the-press-office/2010/09/20/remarks-president-cnbc-town-hall-discussion-jobs,https://web.archive.org/web/20100923073407im_/http://www.whitehouse.gov/sites/default/themes/whitehouse/favicon.ico
2093,http://abcnews.go.com/ThisWeek/week-transcript-biden/story?id=11191222&page=4,https://web.archive.org/web/20100726022700im_/http://a.abcnews.go.com/images/ThisWeek/abc_Joe_Biden_VP_3_100717_me.jpg
8045,http://www.cq.com/doc/newsmakertranscripts-4315109,https://web.archive.org/web/20171230053147im_/http://www.cq.com/versioned/MjAxNzEwMTFfMTU1MzE1MDE5/images/app-icon.png
1755,http://abcnews.go.com/print?id=10532649,
246,http://transcripts.cnn.com/TRANSCRIPTS/0706/05/se.01.html,
11699,http://www.cq.com/doc/newsmakertranscripts-4807408?0,https://web.archive.org/web/20171229200244im_/http://www.cq.com/versioned/MjAxNzEwMTFfMTU1MzE1MDE5/images/app-icon.png
1560,http://www.cdc.gov/nchs/data/dvs/nvsr52_14t12.pdf,
65,http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=105&session=1&vote=00055,
1161,http://www.washingtonpost.com/wp-dyn/content/article/2009/08/28/AR2009082803158.html,
11066,http://blogs.wsj.com/washwire/2015/07/13/hillary-clinton-transcript-building-the-growth-and-fairness-economy/,https://web.archive.org/web/20150715083934im_/http://si.wsj.net/public/resources/images/BN-JI905_botwt0_P_20150713112320.jpg
247,http://transcripts.cnn.com/TRANSCRIPTS/0706/05/se.01.html,
1731,http://abcnews.go.com/ThisWeek/week-transcript-goolsbee-brown-corker/story?id=10469580&page=2,https://web.archive.org/web/20100501042603im_/http://a.abcnews.go.com/images/ThisWeek/tw_hl_100425_me.jpg
4875,http://www.whitehouse.gov/the-press-office/2011/11/30/remarks-president-american-jobs-act-0,https://web.archive.org/web/20111202045245im_/http://www.whitehouse.gov/sites/default/themes/whitehouse/favicon.ico
10945,http://time.com/3920332/transcript-full-text-hillary-clinton-campaign-launch/,https://web.archive.org/web/20150614103521im_/https://timedotcom.files.wordpress.com/2015/06/hillary-clinton-3.jpg?quality=65&strip=color&w=1012
489,http://www.reuters.com/article/topNews/idUSN0961758520080110,https://web.archive.org/web/20080129222843im_/http://www.reuters.com/resources/images/favicon.ico
3050,http://www.facebook.com/notes/sarah-palin/americas-enduring-strength/487510653434,https://web.archive.org/web/20110121200559im_/http://profile.ak.fbcdn.net/hprofile-ak-snc4/hs626.ash1/27542_24718773587_7807_n.jpg
4275,http://politifact.com/truth-o-meter/statements/2010/feb/04/paul-krugman/krugman-calls-senate-health-care-bill-similar-law-/,https://web.archive.org/web/20100208130809im_/http://static.politifact.com.s3.amazonaws.com/images/favicon.ico
239,http://www.ed.gov/about/overview/budget/history/index.html,https://web.archive.org/web/20031211041928im_/http://www.ed.gov/images/ed_mn_promo1.jpg
1143,"http://www.foxnews.com/story/0,2933,539893,00.html",https://web.archive.org/web/20090820185138im_/http://www.foxnews.com/ucat/images/98282_ureport_90.JPG
1949,https://twitter.com/VernBuchanan/status/16939986215,https://web.archive.org/web/20120125094542im_/https://si0.twimg.com/a/1327379192/images/twitter_57.png
12294,http://therightscoop.com/watch-full-ted-cruz-presser-on-new-deal-with-kasich/#ixzz46rOcQFys,https://web.archive.org/web/20160425205225im_/http://therightscoop.com/wp-content/uploads/2016/04/tedcruz-26.jpg
10332,http://sotu.blogs.cnn.com/2014/12/21/obama-gitmo-inspires-jihadists/,https://web.archive.org/web/20141228153146im_/http://i2.cdn.turner.com/cnn/dam/assets/141221071658-sotu-crowley-president-barack-obama-guantanamo-bay-gitmo-prisoners-00000414-horizontal-gallery.jpg
7506,http://www.paul.senate.gov/?p=press_release&id=727,https://web.archive.org/web/20130310031021im_/http://www.paul.senate.gov/images/defaultImageSrc.jpg
13431,http://time.com/4557271/tim-kaine-speech-spanish-arizona/,https://web.archive.org/web/20161104035326im_/https://timedotcom.files.wordpress.com/2016/11/tim-kaine-spanish-speech.jpg?quality=85&w=1012
12924,https://medium.com/@GovGaryJohnson/theres-another-choice-5d1f14b742d5#.gsyzpehxp,https://web.archive.org/web/20160826004320im_/https://cdn-images-1.medium.com/max/1200/1*bS-AOEWLQTK_Jkg-SrgqOw.jpeg
179,http://www.washingtonpost.com/ac2/wp-dyn/A58859-2003Jul28,https://web.archive.org/web/20171229230144im_/https://www.washingtonpost.com/pbox.php?url=https://www.washingtonpost.com/pb/resources/img/twp-social-share.png&w=1484&op=resize&opt=1&filter=antialias&t=20170517
11552,http://www.politifact.com/new-jersey/statements/2013/may/02/leonard-lance/leonard-lance-claims-federal-tax-code-contains-4-m/,https://web.archive.org/web/20130508140338im_/http://static.politifact.com.s3.amazonaws.com:80/rulings%2Ftom-mostlytrue.gif
787,http://www.politifact.com/truth-o-meter/statements/210/,https://web.archive.org/web/20071205191621im_/http://politifact.com/media/img/favicon.ico
780,http://www.politifact.com/truth-o-meter/statements/528/,https://web.archive.org/web/20080710074612im_/http://www.politifact.com/media/img/favicon.ico
5868,http://www.whitehouse.gov/the-press-office/2012/05/05/remarks-president-and-first-lady-campaign-event,https://web.archive.org/web/20120507063431im_/http://www.whitehouse.gov/sites/default/files/image/facebook/whitehouse_logo.jpg
3539,http://stabenow.senate.gov/?p=press_release&id=262,https://web.archive.org/web/20110303230603im_/http://stabenow.senate.gov/favicon.ico
6472,http://www.whitehouse.gov/the-press-office/2012/08/09/remarks-president-campaign-event-colorado-springs-co,https://web.archive.org/web/20120810234500im_/http://www.whitehouse.gov/sites/default/files/image/facebook/whitehouse_logo.jpg
14225,http://video.foxnews.com/v/5467929100001/?#sp=show-clips,https://web.archive.org/web/20170612211522im_/http://a57.foxnews.com/media2.foxnews.com/BrightCove/694940094001/2017/06/12/640/360/694940094001_5467934023001_5467929100001-vs.jpg
2019,http://www.facebook.com/notes/sarah-palin/peace-through-strength-and-american-pride-vs-enemy-centric-policy/403777543434,https://web.archive.org/web/20101101012621im_/http://profile.ak.fbcdn.net/hprofile-ak-snc4/hs626.ash1/27542_24718773587_7807_n.jpg
3527,http://abcnews.go.com/ThisWeek/week-transcript-gen-jim-jones-ret/story?id=13285705&page=3,https://web.archive.org/web/20110408090220im_/http://a.abcnews.go.com/images/ThisWeek/thisweek_033111_me.jpg
6603,http://www.politifact.com/truth-o-meter/statements/2012/jul/12/secure-america-now/ad-says-obama-apologized-showed-weakness-iran/,https://web.archive.org/web/20120715042043im_/http://static.politifact.com.s3.amazonaws.com:80/rulings%2Ftom-mostlyfalse.gif
11189,http://www.c-span.org/video/?c4546787/hillary-clinton-remarks-national-urban-league-conference,https://web.archive.org/web/20150803214121im_/http://images.c-spanvideo.org/Files/3e7/1438349883.jpg/Thumbs/height.630.no_border.width.1200.jpg
